n_nodes,n_edges,total_edge_length,edge_density_km_per_sqkm,street_density_km_per_sqkm,avg_street_length,circuity_avg,status,lsoa_code,lsoa_name,area_sqkm,road_density
4,8,404.75272772385165,3903.163144753514,1951.581572376757,50.594090965481456,1.0000000009697707,success,E01000842,Camden 011A,0.10369864458981304,0.0039031631447535146
3,6,848.4086167866263,10036.954131247832,5018.477065623915,141.40143613110436,1.0089858087541093,success,E01000843,Camden 014A,0.08452849397261807,0.010036954131247833
7,12,1177.5717488953055,10262.3940434422,5131.1970217211,98.13097907460879,1.0017082891619322,success,E01000844,Camden 011B,0.1147463003184709,0.0102623940434422
18,38,2309.0325660257536,19497.862167567448,9748.931083783726,60.76401489541458,1.0366097631611784,success,E01000845,Camden 014B,0.11842490967376802,0.019497862167567447
18,40,2136.6659479513187,26036.911903222936,13018.455951611468,53.416648698782964,1.0001322771856762,success,E01000846,Camden 014C,0.08206295569509667,0.026036911903222933
16,36,2535.6825401180336,25657.350310311187,12828.675155155588,70.43562611438979,1.2023743051216256,success,E01000847,Camden 014D,0.09882869857761549,0.025657350310311185
6,10,1114.9655973882561,11180.517583176657,5590.258791588328,111.4965597388256,1.0165472394809116,success,E01000848,Camden 011C,0.09972396976200339,0.011180517583176657
8,16,1672.8438724166883,21173.903777933858,10586.95188896693,104.55274202604305,1.0002169796929443,success,E01000849,Camden 011D,0.07900498131856175,0.021173903777933854
28,48,4042.6811752886815,20662.67852514548,15047.67427578067,86.59111623224668,1.053376392199934,success,E01000850,Camden 026A,0.19565136099702343,0.020662678525145476
40,66,4116.309327709364,30365.151665579753,21877.395432221583,61.785551545123326,1.0706993925617183,success,E01000851,Camden 026B,0.13556030850902626,0.030365151665579758
19,31,2542.0467838456198,20445.536020069023,13445.121111100441,79.60318818631352,1.001530790683812,success,E01000852,Camden 026C,0.12433260645993267,0.02044553602006902
7,7,540.1699886975314,9241.446113934098,7925.113332105685,77.20487908949482,1.0006905741827912,success,E01000853,Camden 025A,0.05845080759417859,0.009241446113934099
20,32,2352.154592572233,12337.046959560555,8395.806982050988,66.69693058069235,1.0026462167147248,success,E01000854,Camden 026D,0.19065782924247024,0.012337046959560555
17,28,1915.2215861032157,5952.684471773137,4042.171351608927,72.25175151404709,1.000689071757037,success,E01000855,Camden 028A,0.3217408204961895,0.005952684471773138
7,12,677.2990353501519,5648.197851173593,3885.022659733104,58.233665168173324,1.0104090078869739,success,E01000856,Camden 019A,0.11991418381518301,0.005648197851173593
11,23,2396.687029586633,31711.563290138532,16021.402146982211,100.90506095559512,1.021597029972264,success,E01000857,Camden 018A,0.07557770040091148,0.031711563290138536
18,33,1864.8774975660897,8513.018363130857,4906.452845932786,56.56929506112118,1.0158102345834796,success,E01000858,Camden 018B,0.2190618436397027,0.008513018363130858
22,44,2831.3009193720154,29727.31422155784,14863.657110778928,64.34774816754583,1.0331819884494755,success,E01000859,Camden 018C,0.09524240562972873,0.02972731422155784
9,16,1310.3934553213928,6251.402309724683,3259.065130932584,75.90577115432485,1.0078899562999104,success,E01000860,Camden 018D,0.2096159214202139,0.006251402309724682
17,24,1717.6760431863026,15260.582162567585,9825.343126514712,61.43917536010675,1.045357545073134,success,E01000861,Camden 019B,0.11255639037149973,0.015260582162567584
13,22,1694.2492172790392,9987.205656420456,5480.896453958982,61.98600387044726,1.0102801869224547,success,E01000862,Camden 018E,0.16964196748966118,0.009987205656420455
20,24,1633.4399451742906,10004.528307137163,8042.596334624752,69.1113259315231,1.0041214014194164,success,E01000863,Camden 021A,0.16327006081925977,0.010004528307137163
7,18,2876.4203687656527,28927.465033251094,14463.73251662555,159.80113159809187,1.2683003996183657,success,E01000864,Camden 015A,0.09943561820779352,0.028927465033251092
11,23,1980.8330608320316,18270.31198325288,9749.983506644941,88.08958165863235,1.077584980620735,success,E01000865,Camden 015B,0.10841813005972328,0.018270311983252883
12,18,930.1863799746719,6565.181404047087,4401.594509739586,44.5456439178527,1.0077419387027033,success,E01000866,Camden 009A,0.14168479478743135,0.006565181404047087
15,27,1984.0970235643683,24617.372227110878,16256.630564403522,77.07310014878014,1.001166402960066,success,E01000867,Camden 015C,0.08059743360338441,0.02461737222711088
2,2,185.8328606426412,2237.5654145820963,1118.7827072910482,92.9164303213206,1.0005312383913136,success,E01000868,Camden 015D,0.08305136441222152,0.0022375654145820965
19,32,2260.293974135409,19806.593613662644,13118.289901160488,71.28744765485561,1.0042607973768294,success,E01000869,Camden 015E,0.11411825870836527,0.019806593613662642
12,21,2309.107255607839,18080.90904785521,9094.688269407769,105.58907295684645,1.0126814384099272,success,E01000870,Camden 009B,0.1277096881299643,0.018080909047855212
8,20,2666.625661903729,8814.517617337136,4407.258808668568,133.33128309518645,1.0797708164340318,success,E01000871,Camden 005A,0.3025265564911669,0.008814517617337137
12,24,2172.9310357320687,14342.632354853118,7171.316177426557,90.53879315550284,1.000058611932614,success,E01000872,Camden 005B,0.1515015502016137,0.014342632354853117
12,24,2542.1605939562996,20467.19745972123,10233.598729860614,105.92335808151249,1.1417640136536544,success,E01000873,Camden 005C,0.12420657977034659,0.020467197459721226
11,19,1549.734647819536,18040.572851604797,9235.885893442448,79.33879090265268,1.0068788486865619,success,E01000874,Camden 005D,0.08590274048208395,0.018040572851604795
9,20,2665.165358445663,23064.53453153944,11532.267265769724,133.2582679222832,1.0334432373744264,success,E01000875,Camden 013A,0.11555253173660196,0.023064534531539442
