lsoa_code,population_density
E01001834,20904.3
E01001835,16844.3
E01001733,12883.7
E01001785,17582.8
E01001789,18335.1
E01001791,14015.4
E01001745,19269.2
E01001746,34338.1
E01001757,31763.5
E01001758,20962.3
E01001759,15974.8
E01001761,16959
E01001731,15374.9
E01001734,13653.3
E01001760,13081.2
E01001762,11756.9
E01001846,2230.4
E01001847,12601.7
E01001848,12994.7
E01001849,4940.5
E01001729,15556.4
E01001730,21138.3
E01001732,29366.3
E01001735,11769.1
E01001838,26342.5
E01001850,25949.4
E01001749,13971.8
E01001763,16289.1
E01001816,11372
E01001819,11660.5
E01001836,14074.4
E01001840,14751.4
E01001841,9985.4
E01001844,12320.1
E01001845,14356.9
E01001837,12980.3
E01001839,21877.3
E01001842,23653.3
E01001843,16261.8
E01033704,10703.2
E01033712,9507.1
E01001772,27229.8
E01001774,11045
E01001775,12876.3
E01001815,16242
E01001820,16391.5
E01001821,19650.7
E01001753,20589
E01001755,16463.7
E01001773,20335.8
E01001776,16820.9
E01001781,10588.2
E01001783,26113.8
E01001798,22159.8
E01001828,18462.2
E01033702,14495.5
E01033705,8951.3
E01033710,26737.6
E01001722,21788.1
E01001728,21628.4
E01001822,23773.8
E01001827,9603.5
E01001756,12558.6
E01033699,15000
E01033700,22645.5
E01001744,14833.5
E01001750,14554.2
E01001751,9609.9
E01001780,16554.2
E01001784,23315.8
E01033709,20854.2
E01033711,24811.9
E01001777,17086.3
E01033706,10718.5
E01033708,5230.9
E01001875,10864.4
E01001876,2651.2
E01001877,1077.2
E01001878,11540.7
E01001955,9612.4
E01001957,22335.2
E01001958,37912.1
E01001961,22340.4
E01001954,17440
E01001956,11745
E01001959,10423.3
E01001960,22245.7
E01001943,5079.7
E01001944,25925.9
E01001945,14453.1
E01001946,15186.1
E01001862,19245.1
E01001940,18848
E01001941,10867.5
E01001942,19784.7
E01001858,14062.5
E01001860,19791.7
E01001861,18708.4
E01001863,17000
E01001864,20376.9
E01001852,21576.2
E01001853,18211.7
E01001854,26666.7
E01001857,21912.2
E01001859,25238.1
E01001865,13558.6
E01001927,6806.4
E01001930,6829.3
E01001895,16777.9
E01001896,16642.9
E01001897,13558.8
E01001929,15791.3
E01001851,14783
E01001855,21653.6
E01001856,19891.2
E01001869,5821.9
E01001873,24304.2
E01001928,9637.1
E01001931,19058.8
E01001932,8854.3
E01001933,8201.8
E01001866,10053.4
E01001867,12938.5
E01001868,21087
E01001870,16660.1
E01001871,11532
E01001872,19250.4
E01001893,18983.5
E01001894,8762.8
E01001898,7294.9
E01001899,12843.4
E01001900,12567.9
E01001889,9672.7
E01001910,16645.9
E01001913,12715.6
E01001914,22481.3
E01001885,23115.9
E01001908,31921.3
E01001909,20056.9
E01001911,10947.5
E01001912,15321.4
E01001886,15604.5
E01001887,13400.7
