lsoa_code,building_density
E01001642,5.688501099
E01001644,27.66432906
E01033746,24.85520681
E01033736,26.13934274
E01033734,32.51145141
E01033732,27.38227597
E01001666,33.4711837
E01001712,15.47370429
E01033737,25.92277078
E01033735,44.73079265
E01001808,34.94666037
E01001809,33.42941261
E01001814,39.34453296
E01001823,23.38435764
E01001825,36.1008663
E01001714,15.80946073
E01001811,18.38613144
E01001813,22.02253546
E01001799,30.07707012
E01001802,24.85021491
E01001804,24.35830491
E01001807,26.71978525
E01001812,15.90216316
E01001725,39.59939124
E01001726,25.12430539
E01001800,28.76179915
E01001824,11.87712521
E01001826,24.71748563
E01001723,31.45995044
E01001724,36.00215139
E01001727,38.89410395
E01001768,35.21047566
E01001769,20.69271182
E01001715,27.18609741
E01001716,27.81875027
E01001717,20.69481489
E01001718,33.61427894
E01001719,24.21284289
E01001720,26.78892164
E01001742,37.85914567
E01001801,53.96940919
E01001803,20.46580281
E01001806,13.89582804
E01001741,38.99362943
E01001805,62.82249151
E01001829,38.53340004
E01001831,36.96328742
E01001832,30.87834462
E01001764,33.59669056
E01001765,22.60712507
E01001767,27.22438554
E01001770,33.62756164
E01033703,31.79667685
E01033713,10.68722881
E01001792,20.75785094
E01001793,19.37460146
E01001794,32.45252431
E01001795,44.16537119
E01001796,38.92423694
E01001736,27.24611938
E01001737,38.34312751
E01001738,30.26331424
E01001739,33.81038287
E01001786,2.19260707
E01001787,12.55247932
E01001788,19.23453067
E01001790,33.58030545
E01001740,30.95371196
E01001747,45.87398751
E01001830,30.97985364
E01001833,29.58430648
E01001834,33.49385039
E01001835,45.88356323
E01001733,39.0424377
E01001785,32.22230784
E01001789,29.70979161
E01001791,29.34398706
E01001745,39.00630987
E01001746,22.75335758
E01001757,25.71608241
E01001758,35.61443249
E01001759,25.65717755
E01001761,31.79300748
E01001731,37.11206097
E01001734,29.50413661
E01001760,32.81085162
E01001762,28.48612262
E01001846,10.84549642
E01001847,24.92781063
E01001848,26.16373918
E01001849,19.73152126
E01001729,48.76947672
E01001730,39.80922707
E01001732,29.42309941
E01001735,35.85806287
E01001838,24.78079828
E01001850,19.34887663
E01001749,27.48836697
E01001763,27.8701875
E01001816,25.73733476
E01001819,24.76834699
E01001836,36.70833999
E01001840,31.50168762
E01001841,19.1676094
E01001844,24.65829367
E01001845,22.57876593
E01001837,29.18917575
E01001839,39.32385325
E01001842,32.01215466
E01001843,28.95267586
E01033704,22.751313
E01033712,25.83667509
E01001772,30.8870875
E01001774,28.74841742
E01001775,21.43883299
E01001815,24.82097019
E01001820,24.55594485
E01001821,25.00361199
E01001753,24.45459594
E01001755,44.47081873
E01001773,33.44817226
E01001776,28.51644626
E01001781,10.68286944
E01001783,19.08657088
E01001798,27.82749494
E01001828,27.45025314
E01033702,31.95667912
E01033705,10.88270442
E01033710,26.36256934
E01001722,32.12246417
E01001728,28.00865233
E01001822,26.52952126
E01001827,18.34542733
E01033699,41.65330107
E01033700,36.37216922
E01001756,33.04026884
E01001744,24.82434855
E01001751,23.51295813
E01001750,26.86253051
E01001784,29.57671873
E01033709,40.01762295
E01033711,41.68473712
E01001780,32.6770659
E01001777,36.34254898
E01033706,51.13041484
E01033708,44.71965244
E01001875,21.3933841
E01001876,18.19857546
E01001877,28.0304252
E01001878,23.21700766
E01001955,32.48687482
E01001957,29.00182281
E01001958,21.01844229
E01001961,29.22698178
E01001954,29.99656971
E01001956,26.71424601
E01001959,19.05372822
E01001960,37.63071054
E01001943,38.89911147
E01001944,20.37902252
E01001945,31.61892293
E01001946,23.49887589
E01001862,30.10717293
E01001940,32.91486781
E01001941,41.97908729
E01001942,38.12841036
E01001858,31.87333984
E01001860,33.36429605
E01001861,31.20552636
E01001863,34.70126178
E01001864,38.67325829
E01001852,32.67091544
E01001853,34.32971157
E01001854,35.61075848
E01001857,38.74358753
E01001859,31.33355174
E01001865,38.13452989
E01001927,22.62217852
E01001930,21.71187346
E01001895,36.91204233
E01001896,30.77707699
E01001897,44.60103766
E01001929,38.4441689
E01001851,45.66438247
E01001855,34.02323542
E01001856,35.72439835
E01001869,40.13142857
E01001873,33.52182953
E01001928,25.74498644
E01001931,30.20961406
E01001932,37.58306487
E01001933,28.78843889
E01001866,47.86004601
E01001867,40.57705579
E01001868,31.34530388
E01001870,28.71679565
E01001871,39.07193636
E01001872,26.81092095
E01001893,30.90162345
E01001894,27.59992286
E01001898,33.09482268
E01001899,40.33556289
E01001900,30.32551156
E01001889,59.49915225
E01001910,23.33569217
E01001913,18.42103221
E01001914,29.21447002
E01001885,22.74358059
E01001908,44.41757463
E01001909,45.52298126
E01001911,29.4214127
E01001912,25.08151036
E01001886,31.31740096
E01001887,23.27866347
E01001890,67.1802494
E01001892,45.46606057
E01001880,38.70070104
E01001881,43.1486416
E01001882,48.65085533
E01001883,34.6905925
E01001884,40.09923241
E01001888,36.79924063
E01001891,32.96299456
E01001917,36.67131575
E01001918,33.43318688
E01001919,36.0622709
E01001879,42.46691887
E01001901,43.12975511
E01001902,43.92076136
E01001903,46.45103202
E01001920,36.1968217
E01001921,38.14974645
E01001922,29.28525856
E01001923,33.7704707
E01001924,39.19792638
E01001947,30.83639966
E01001948,42.75528987
E01001949,45.83762041
E01001950,44.62910015
E01001951,38.53224567
E01001953,38.54393491
E01001904,64.11719474
E01001905,46.75115317
E01001906,41.79606336
E01001907,40.97396912
E01001935,41.05712514
E01032788,37.68683303
E01032789,37.13679346
E01032790,22.13780957
E01001915,17.12772404
E01001916,9.963176936
E01001926,42.58621335
E01001952,38.98994278
E01001925,39.23778679
E01001934,35.77965735
E01001937,24.36754322
E01001938,33.34178702
E01002755,24.36041638
E01002756,22.33623949
E01002758,18.4355759
E01002804,25.67847601
E01002807,32.76341652
E01002811,23.50016766
E01002753,35.80755455
E01002754,26.61753892
E01002757,27.86097937
E01002759,28.78411245
E01002760,28.130451
E01002772,37.35657204
E01002735,37.87666795
E01002805,41.33731505
E01002806,36.87175451
E01002808,27.9022354
E01002809,27.99092312
E01002810,34.6163476
E01002768,25.56195282
E01002770,43.88615369
E01002771,22.22681485
E01002773,41.39964644
E01002774,24.56548889
E01002732,23.62375054
E01002734,27.135201
E01002736,37.56026409
E01002737,35.16686989
E01002751,21.95676922
E01002742,35.76664861
E01002747,44.02347499
E01002748,17.91658943
E01002749,36.13166601
E01033493,43.81645077
E01033494,31.10762625
E01002730,30.90684849
E01002733,30.69778523
E01002763,31.54992462
E01002769,24.08286499
E01002785,30.15512598
E01002788,24.72599795
E01002789,25.90398829
E01002738,27.14682628
E01002741,18.51254232
E01002743,24.24938366
E01002744,29.09856494
E01002752,25.03839607
E01002764,25.01906655
E01002783,21.07778443
E01002784,35.30129614
E01002786,27.46744892
E01002787,25.80479553
E01002762,28.33606684
E01002767,25.64998708
E01033486,22.60148318
E01033487,34.00773188
E01033488,27.65645342
E01033491,42.72551092
E01002777,23.96557798
E01002778,24.845169
E01002779,29.32502053
E01002781,22.68054163
E01002782,27.02476022
E01002739,36.5476657
E01002740,23.64514673
E01002745,30.83959958
E01002795,27.88058906
