lsoa_code,n_oas,population_density,population_density_median,population_density_min,population_density_max,population_density_sd,data_source,density_category
E01000947,0,NA,NA,NA,NA,NA,imputed,Very High
E01000948,0,NA,NA,NA,NA,NA,imputed,Very High
E01000949,0,NA,NA,NA,NA,NA,imputed,Very High
E01000950,0,NA,NA,NA,NA,NA,imputed,Very High
E01000951,0,NA,NA,NA,NA,NA,imputed,Very High
E01000952,0,NA,NA,NA,NA,NA,imputed,Very High
E01000953,0,NA,NA,NA,NA,NA,imputed,Very High
E01000954,0,NA,NA,NA,NA,NA,imputed,Very High
E01000955,0,NA,NA,NA,NA,NA,imputed,Very High
E01000956,0,NA,NA,NA,NA,NA,imputed,Very High
E01000957,0,NA,NA,NA,NA,NA,imputed,Very High
E01000958,0,NA,NA,NA,NA,NA,imputed,Very High
E01000959,0,NA,NA,NA,NA,NA,imputed,Very High
E01000960,0,NA,NA,NA,NA,NA,imputed,Very High
E01000961,0,NA,NA,NA,NA,NA,imputed,Very High
E01000962,0,NA,NA,NA,NA,NA,imputed,Very High
E01000963,0,NA,NA,NA,NA,NA,imputed,Very High
E01000964,0,NA,NA,NA,NA,NA,imputed,Very High
E01000965,0,NA,NA,NA,NA,NA,imputed,Very High
E01000966,0,NA,NA,NA,NA,NA,imputed,Very High
E01000967,0,NA,NA,NA,NA,NA,imputed,Very High
E01000968,0,NA,NA,NA,NA,NA,imputed,Very High
E01000969,0,NA,NA,NA,NA,NA,imputed,Very High
E01000970,0,NA,NA,NA,NA,NA,imputed,Very High
E01000971,0,NA,NA,NA,NA,NA,imputed,Very High
E01000972,0,NA,NA,NA,NA,NA,imputed,Very High
E01000973,0,NA,NA,NA,NA,NA,imputed,Very High
E01000974,0,NA,NA,NA,NA,NA,imputed,Very High
E01001571,0,NA,NA,NA,NA,NA,imputed,Very High
E01001572,0,NA,NA,NA,NA,NA,imputed,Very High
E01001573,0,NA,NA,NA,NA,NA,imputed,Very High
E01001574,0,NA,NA,NA,NA,NA,imputed,Very High
E01001575,0,NA,NA,NA,NA,NA,imputed,Very High
E01001576,0,NA,NA,NA,NA,NA,imputed,Very High
E01001577,0,NA,NA,NA,NA,NA,imputed,Very High
