lsoa_code,borough,imd_score,imd_quintile,lsoa_name,ptal_score,ptal_category,ptal_original,accessibility_index,ai_median,ai_min,ai_max,data_source,ptal_score_z,ai_z
E01001928,Hammersmith and Fulham,20.584,Q2,Hammersmith and Fulham 011A,4,Good,4,16.6467387842,16.7395212421,10.2145310912,20.0064236841,measured,0.0016546181840391264,-0.24824127956594025
E01001929,Hammersmith and Fulham,12.281,Q1_Least,Hammersmith and Fulham 009D,5,Very Good,5,21.1096235978,18.7020962646,16.9209826079,28.4505978291,measured,0.6462057355992847,0.08313076891368325
E01001930,Hammersmith and Fulham,31.034,Q4,Hammersmith and Fulham 008D,3,Moderate,3,14.662596029,14.7355817895,11.4211809871,18.3019014389,measured,-0.6428964992312065,-0.3955651466895156
E01001931,Hammersmith and Fulham,18.489,Q2,Hammersmith and Fulham 011B,4,Good,4,17.0325014281,17.502644711,14.1933673428,19.6855039112,measured,0.0016546181840391264,-0.21959815681571543
E01001932,Hammersmith and Fulham,25.92,Q3,Hammersmith and Fulham 011C,4,Good,4,17.2133526547,17.9438689972,4.54711433762,30.7027473755,measured,0.0016546181840391264,-0.20616983770564815
E01001933,Hammersmith and Fulham,20.872,Q3,Hammersmith and Fulham 011D,3,Moderate,3,13.5062608907,14.020247882,4.60017900931,20.7966961196,measured,-0.6428964992312065,-0.481423769421557
E01001934,Hammersmith and Fulham,23.795,Q3,Hammersmith and Fulham 025B,2,Poor,2,5.62637939504,5.57520736002,1.30983716228,10.0453323753,measured,-1.2874476166464521,-1.0665100044586706
E01001935,Hammersmith and Fulham,16.976,Q2,Hammersmith and Fulham 023A,2,Poor,2,9.30523930416,9.82578975159,7.72138063753,10.9140067406,measured,-1.2874476166464521,-0.7933523060032429
E01001937,Hammersmith and Fulham,13.307,Q1_Least,Hammersmith and Fulham 025C,2,Poor,2,7.10724832462,7.24742381678,1.57491876686,9.64912706124,measured,-1.2874476166464521,-0.9565545403988864
E01001938,Hammersmith and Fulham,27.478,Q4,Hammersmith and Fulham 025D,3,Moderate,3,11.032006199,12.111562202,7.22283094418,14.1842912063,measured,-0.6428964992312065,-0.6651387609334206
E01001939,Hammersmith and Fulham,21.07,Q3,Hammersmith and Fulham 023C,3.9880587875076547,Good,NA,19.901549386709444,19.901549386709444,NA,NA,imputed,-0.0060421036711948975,-0.006569513026051894
E01001940,Hammersmith and Fulham,34.773,Q5_Most,Hammersmith and Fulham 005B,5,Very Good,5,20.246724024,13.9943451022,12.6260819393,36.3531775195,measured,0.6462057355992847,0.019059924304174917
E01001941,Hammersmith and Fulham,30.224,Q4,Hammersmith and Fulham 005C,6,Excellent,6a,33.2338517796,34.5173693942,13.5617824791,44.7619508096,measured,1.2907568530145304,0.9833624568555943
E01001942,Hammersmith and Fulham,24.159,Q3,Hammersmith and Fulham 005D,4,Good,4,18.1662503336,15.3403584759,13.4732919029,35.2689837482,measured,0.0016546181840391264,-0.13541657629806542
E01001943,Hammersmith and Fulham,33.034,Q4,Hammersmith and Fulham 004A,6,Excellent,6a,39.9592144237,40.9685530951,8.36796194616,52.2238294886,measured,1.2907568530145304,1.4827249296114278
E01001944,Hammersmith and Fulham,43.021,Q5_Most,Hammersmith and Fulham 004B,6,Excellent,6a,28.4139993729,31.7700015371,18.4292205383,37.8712205739,measured,1.2907568530145304,0.6254853365430794
E01001945,Hammersmith and Fulham,25.101,Q3,Hammersmith and Fulham 004C,3,Moderate,3,14.781866412,13.3231757616,10.8915706901,20.5184434469,measured,-0.6428964992312065,-0.386709244557061
