lsoa_code,n_nodes,n_edges,total_edge_length,edge_density_km_per_sqkm,street_density_km_per_sqkm,avg_street_length,circuity_avg,status,lsoa_name,area_sqkm,road_density,road_density_km_per_sqkm
E01000842,4.0,8.0,404.7527277238517,3903.163144753514,1951.581572376757,50.594090965481456,1.0000000009697707,success,Camden 011A,0.103698644589813,0.0039031631447535,3.9031631447535
E01000843,3.0,6.0,848.4086167866263,10036.954131247832,5018.477065623915,141.40143613110436,1.0089858087541093,success,Camden 014A,0.084528493972618,0.0100369541312478,10.0369541312478
E01000844,7.0,12.0,1177.5717488953055,10262.3940434422,5131.1970217211,98.1309790746088,1.0017082891619322,success,Camden 011B,0.1147463003184709,0.0102623940434422,10.262394043442201
E01000845,18.0,38.0,2309.0325660257536,19497.862167567448,9748.931083783726,60.76401489541458,1.0366097631611784,success,Camden 014B,0.118424909673768,0.0194978621675674,19.497862167567398
E01000846,18.0,40.0,2136.6659479513187,26036.911903222936,13018.455951611468,53.41664869878296,1.0001322771856762,success,Camden 014C,0.0820629556950966,0.0260369119032229,26.036911903222897
E01000847,16.0,36.0,2535.6825401180336,25657.350310311187,12828.675155155588,70.43562611438979,1.2023743051216256,success,Camden 014D,0.0988286985776154,0.0256573503103111,25.6573503103111
E01000848,6.0,10.0,1114.965597388256,11180.517583176656,5590.258791588328,111.4965597388256,1.0165472394809116,success,Camden 011C,0.0997239697620033,0.0111805175831766,11.1805175831766
E01000849,8.0,16.0,1672.8438724166883,21173.903777933858,10586.95188896693,104.55274202604303,1.0002169796929443,success,Camden 011D,0.0790049813185617,0.0211739037779338,21.173903777933802
E01000850,28.0,48.0,4042.6811752886815,20662.67852514548,15047.67427578067,86.59111623224668,1.053376392199934,success,Camden 026A,0.1956513609970234,0.0206626785251454,20.6626785251454
E01000851,40.0,66.0,4116.309327709364,30365.151665579757,21877.395432221583,61.785551545123326,1.0706993925617183,success,Camden 026B,0.1355603085090262,0.0303651516655797,30.3651516655797
E01000852,19.0,31.0,2542.04678384562,20445.536020069023,13445.12111110044,79.60318818631352,1.001530790683812,success,Camden 026C,0.1243326064599326,0.020445536020069,20.445536020069
E01000853,7.0,7.0,540.1699886975314,9241.446113934098,7925.113332105685,77.20487908949482,1.0006905741827912,success,Camden 025A,0.0584508075941785,0.009241446113934,9.241446113934
E01000854,20.0,32.0,2352.154592572233,12337.046959560555,8395.806982050988,66.69693058069235,1.0026462167147248,success,Camden 026D,0.1906578292424702,0.0123370469595605,12.3370469595605
E01000855,17.0,28.0,1915.221586103216,5952.684471773137,4042.171351608927,72.25175151404709,1.000689071757037,success,Camden 028A,0.3217408204961895,0.0059526844717731,5.9526844717731
E01000856,7.0,12.0,677.2990353501519,5648.197851173593,3885.022659733104,58.23366516817333,1.010409007886974,success,Camden 019A,0.119914183815183,0.0056481978511735,5.6481978511735
E01000857,11.0,23.0,2396.687029586633,31711.56329013853,16021.402146982213,100.90506095559512,1.021597029972264,success,Camden 018A,0.0755777004009114,0.0317115632901385,31.711563290138503
E01000858,18.0,33.0,1864.8774975660897,8513.018363130857,4906.452845932786,56.56929506112118,1.0158102345834796,success,Camden 018B,0.2190618436397027,0.0085130183631308,8.5130183631308
E01000859,22.0,44.0,2831.3009193720154,29727.31422155784,14863.657110778928,64.34774816754583,1.0331819884494755,success,Camden 018C,0.0952424056297287,0.0297273142215578,29.7273142215578
E01000860,9.0,16.0,1310.3934553213928,6251.402309724683,3259.065130932584,75.90577115432485,1.0078899562999104,success,Camden 018D,0.2096159214202139,0.0062514023097246,6.251402309724599
E01000861,17.0,24.0,1717.6760431863026,15260.582162567584,9825.343126514712,61.43917536010675,1.045357545073134,success,Camden 019B,0.1125563903714997,0.0152605821625675,15.2605821625675
E01000862,13.0,22.0,1694.2492172790392,9987.205656420456,5480.896453958982,61.98600387044726,1.0102801869224547,success,Camden 018E,0.1696419674896611,0.0099872056564204,9.9872056564204
E01000863,20.0,24.0,1633.4399451742906,10004.528307137163,8042.596334624752,69.1113259315231,1.0041214014194164,success,Camden 021A,0.1632700608192597,0.0100045283071371,10.0045283071371
E01000864,7.0,18.0,2876.4203687656527,28927.465033251094,14463.73251662555,159.80113159809187,1.2683003996183655,success,Camden 015A,0.0994356182077935,0.028927465033251,28.927465033251
E01000865,11.0,23.0,1980.833060832032,18270.31198325288,9749.98350664494,88.08958165863235,1.077584980620735,success,Camden 015B,0.1084181300597232,0.0182703119832528,18.2703119832528
E01000866,12.0,18.0,930.186379974672,6565.181404047087,4401.594509739586,44.5456439178527,1.0077419387027031,success,Camden 009A,0.1416847947874313,0.006565181404047,6.565181404046999
E01000867,15.0,27.0,1984.0970235643683,24617.37222711088,16256.630564403522,77.07310014878014,1.001166402960066,success,Camden 015C,0.0805974336033844,0.0246173722271108,24.6173722271108
E01000868,2.0,2.0,185.8328606426412,2237.5654145820963,1118.7827072910482,92.9164303213206,1.0005312383913136,success,Camden 015D,0.0830513644122215,0.002237565414582,2.2375654145820003
E01000869,19.0,32.0,2260.293974135409,19806.593613662644,13118.289901160488,71.28744765485561,1.0042607973768294,success,Camden 015E,0.1141182587083652,0.0198065936136626,19.8065936136626
E01000870,12.0,21.0,2309.107255607839,18080.90904785521,9094.688269407769,105.58907295684644,1.0126814384099272,success,Camden 009B,0.1277096881299643,0.0180809090478552,18.0809090478552
E01000871,8.0,20.0,2666.625661903729,8814.517617337136,4407.258808668568,133.33128309518645,1.0797708164340318,success,Camden 005A,0.3025265564911669,0.0088145176173371,8.814517617337101
