lsoa_code,lsoa_name,borough,imd_score,imd_quintile,n_images,mean_gvi,median_gvi,std_gvi,min_gvi,max_gvi,q25_gvi,q75_gvi,status,data_source
E01000865,,Camden,13.236,Q1_Least,100,17.86901855,13.0645752,16.626894,0.0,80.87768555,5.107116699,27.65045166,completed,measured
E01000871,,Camden,14.237,Q1_Least,100,18.82501221,15.39611816,16.66194725,0.0,72.61352539,5.899047852,27.8137207,completed,measured
E01000873,,Camden,8.615,Q1_Least,100,21.36376953,17.48352051,15.41815853,0.0,70.20874023,11.77062988,25.77056885,completed,measured
E01000874,,Camden,4.907,Q1_Least,100,18.18408203,15.64941406,13.5015831,0.0,55.15136719,6.994628906,25.61187744,completed,measured
E01000877,,Camden,11.158,Q1_Least,100,18.07922363,14.79492188,13.90262508,0.0,56.28662109,6.716918945,26.04064941,completed,measured
E01000878,,Camden,5.647,Q1_Least,100,16.22955322,9.353637695,16.45498466,0.0,67.72460938,2.641296387,26.27258301,completed,measured
E01000879,,Camden,5.877,Q1_Least,80,27.67715454,24.22485352,17.49303436,0.0,88.51318359,17.89398193,35.91918945,completed,measured
E01000880,,Camden,6.105,Q1_Least,80,15.84854126,9.375,16.12402534,0.0,61.35864258,1.943969727,24.1104126,completed,measured
E01000881,,Camden,13.429,Q1_Least,80,28.60664368,26.11083984,22.75884819,0.0,85.79711914,4.890441895,48.01635742,completed,measured
E01000883,,Camden,9.536,Q1_Least,80,11.01402283,0.601196289,17.36455345,0.0,71.47827148,0.0,16.32080078,completed,measured
E01000895,,Camden,8.367,Q1_Least,100,22.3963623,22.09777832,16.77402878,0.0,57.82470703,5.964660645,33.24584961,completed,measured
E01000896,,Camden,5.734,Q1_Least,100,27.70080566,24.9206543,21.86750221,0.604248047,93.49365234,8.633422852,41.07208252,completed,measured
E01000912,,Camden,22.316,Q3,100,38.59564209,38.52539063,24.19951248,0.006103516,94.42749023,17.93518066,55.21697998,completed,measured
E01000915,,Camden,23.058,Q3,100,13.26422119,15.234375,8.540571213,0.0,29.38232422,5.110168457,19.25506592,completed,measured
E01000919,,Camden,21.741,Q3,100,5.297363281,0.833129883,7.933811665,0.0,33.203125,0.0,9.101867676,completed,measured
E01000922,,Camden,21.717,Q3,80,7.728042603,2.80456543,10.25261307,0.0,44.40917969,0.152587891,12.20550537,completed,measured
E01000929,,Camden,25.374,Q3,80,24.38453674,24.31335449,14.90096664,0.0,48.19946289,10.39581299,37.5793457,completed,measured
E01000930,,Camden,30.755,Q4,100,9.601135254,0.408935547,13.19237423,0.0,48.77319336,0.035095215,18.98956299,completed,measured
E01000937,,Camden,14.324,Q1_Least,100,17.94592285,17.73071289,12.41952229,0.0,53.84521484,8.728027344,23.25592041,completed,measured
E01000949,,Camden,19.618,Q2,100,15.22692871,14.6697998,11.14849567,0.0,39.10522461,5.534362793,24.9206543,completed,measured
E01000960,,Camden,16.477,Q2,100,8.358764648,0.073242188,17.89107323,0.0,72.21679688,0.0,4.989624023,completed,measured
E01000969,,Camden,6.278,Q1_Least,80,10.13130188,5.975341797,11.05481052,0.0,38.43994141,1.675415039,14.91394043,completed,measured
E01001583,,Greenwich,13.467,Q1_Least,100,15.67956543,12.33520508,13.80564785,0.0,60.01586914,5.02166748,24.22790527,completed,measured
