lsoa_code,lsoa_name,borough,imd_score,imd_quintile,n_images,mean_gvi,median_gvi,std_gvi,min_gvi,max_gvi,q25_gvi,q75_gvi,status,data_source
E01004503,Wandsworth 014C,Wandsworth,18.546,Q2,80,34.817657470703125,38.1317138671875,14.09805964235372,4.26025390625,54.425048828125,25.06561279296875,46.50115966796875,completed,measured
E01004504,Wandsworth 020C,Wandsworth,9.832,Q1_Least,80,21.516571044921875,15.4266357421875,16.763570196959385,0.714111328125,55.82275390625,9.04541015625,28.399658203125,completed,measured
E01004505,Wandsworth 014D,Wandsworth,7.752,Q1_Least,80,20.049285888671875,19.146728515625,11.202091080173975,0.0,77.294921875,14.13116455078125,26.7059326171875,completed,measured
E01004506,Wandsworth 011A,Wandsworth,9.478,Q1_Least,80,12.000732421875,5.0048828125,14.524394322909435,0.0,57.318115234375,0.13885498046875,21.728515625,completed,measured
E01004507,Wandsworth 014E,Wandsworth,8.65,Q1_Least,80,16.620330810546875,7.568359375,17.331817109325332,0.0,51.153564453125,1.0528564453125,32.04193115234375,completed,measured
E01004508,Wandsworth 012A,Wandsworth,10.753,Q1_Least,80,25.205154418945312,17.999267578125,22.78262535155941,0.0,89.3798828125,4.20684814453125,41.04461669921875,completed,measured
E01004509,Wandsworth 010A,Wandsworth,15.768,Q2,80,11.01287841796875,8.10546875,12.594471170261883,0.0,84.979248046875,2.72979736328125,14.94140625,completed,measured
E01004510,Wandsworth 012B,Wandsworth,8.768,Q1_Least,80,20.6103515625,18.511962890625,12.729452423572074,0.0,46.6796875,13.96942138671875,30.084228515625,completed,measured
E01004511,Wandsworth 010B,Wandsworth,8.087,Q1_Least,80,9.785385131835938,7.342529296875,9.546748425612645,0.006103515625,44.22607421875,1.93939208984375,15.02838134765625,completed,measured
E01004512,Wandsworth 019B,Wandsworth,12.491,Q1_Least,80,6.3678741455078125,5.0811767578125,5.565505422828045,0.0,22.796630859375,2.38189697265625,8.29010009765625,completed,measured
E01004513,Wandsworth 018B,Wandsworth,18.296,Q2,80,1.5531158447265625,0.750732421875,1.985864877777504,0.0,8.038330078125,0.10833740234375,2.37274169921875,completed,measured
E01004514,Wandsworth 012C,Wandsworth,9.256,Q1_Least,80,11.630020141601562,9.2620849609375,10.787395152326424,0.054931640625,48.443603515625,3.52325439453125,16.2322998046875,completed,measured
E01004515,Wandsworth 012D,Wandsworth,14.846,Q2,80,10.240325927734377,5.8197021484375,12.402703549392507,0.0,57.708740234375,0.30364990234375,16.63360595703125,completed,measured
E01004516,Wandsworth 036A,Wandsworth,12.313,Q1_Least,0,13.986108518498634,13.986108518498634,8.0,0.0,28.986108518498632,8.986108518498634,18.986108518498632,no_data,predicted
E01004518,Wandsworth 036B,Wandsworth,13.045,Q1_Least,3,21.370715268572653,21.370715268572653,8.0,6.370715268572653,36.37071526857265,16.370715268572653,26.370715268572653,insufficient,predicted
E01004519,Wandsworth 036C,Wandsworth,16.635,Q2,0,17.424483039365963,17.424483039365963,8.0,2.4244830393659633,32.42448303936597,12.424483039365963,22.424483039365963,no_data,predicted
E01004520,Wandsworth 036D,Wandsworth,16.54,Q2,0,17.25973480102668,17.25973480102668,8.0,2.2597348010266813,32.25973480102668,12.259734801026681,22.25973480102668,no_data,predicted
E01004521,Wandsworth 037B,Wandsworth,16.432,Q2,80,35.28495788574219,35.7666015625,24.099094714196767,0.128173828125,96.13037109375,12.32757568359375,51.9775390625,completed,measured
E01004522,Wandsworth 037C,Wandsworth,18.304,Q2,80,72.23587036132812,70.5535888671875,15.646181899790909,35.601806640625,99.151611328125,62.50762939453125,87.6129150390625,completed,measured
