borough,mean_gvi
Kensington and Chelsea,11.862125941685267
Hammersmith and Fulham,13.009147644042969
Lewisham,13.073057293891907
Hackney,13.193562825520834
Westminster,14.923526763916016
Greenwich,15.887824563419118
Tower Hamlets,16.477991104125977
Wandsworth,16.805154144763947
Islington,17.07444667816162
Camden,17.924002213911578
Southwark,20.23277681014117
Lambeth,22.987162748972576
