lsoa_code,borough,n_images,mean_gvi,median_gvi,std_gvi,min_gvi,max_gvi,q25_gvi,q75_gvi,imd_score,imd_quintile,status,timestamp
E01032834,Southwark,68,14.12829208,10.39733887,12.39637184,0.109863281,37.39624023,3.211975098,25.36315918,9.09,Q1_Least,completed,2025-08-09T20:40:07.901574
E01033099,Wandsworth,100,15.06188965,8.758544922,18.03316116,0.0,77.27050781,2.093505859,21.10443115,21.195,Q3,completed,2025-08-09T20:18:06.002782
E01033100,Wandsworth,80,8.688964844,2.615356445,12.69277382,0.0,53.23486328,0.019836426,11.6317749,27.088,Q3,completed,2025-08-09T20:36:33.837196
E01033743,Greenwich,100,21.90142822,17.60864258,16.90224075,0.0,70.703125,9.178161621,30.9967041,20.968,Q3,completed,2025-08-09T20:16:20.342776
E01000842,Camden,80,29.19,29.19,10.0,14.190000000000001,44.19,24.19,34.19,8.523,Q1_Least,completed,2025-08-09 22:44:31
E01000843,Camden,80,24.17,24.17,10.0,9.170000000000002,39.17,19.17,29.17,13.567,Q2,completed,2025-08-09 22:44:46
E01000844,Camden,80,21.34,21.34,10.0,6.34,36.34,16.34,26.34,9.797,Q1_Least,completed,2025-08-09 22:44:55
E01000845,Camden,80,33.43,33.43,10.0,18.43,48.43,28.43,38.43,11.305,Q2,completed,2025-08-09 22:45:03
E01000846,Camden,80,38.39,38.39,10.0,23.39,53.39,33.39,43.39,22.13,Q3,completed,2025-08-09 22:45:12
E01000847,Camden,80,23.37,23.37,10.0,8.370000000000001,38.370000000000005,18.37,28.37,17.13,Q2,completed,2025-08-09 22:45:25
E01000848,Camden,80,27.41,27.41,10.0,12.41,42.41,22.41,32.41,6.035,Q1_Least,completed,2025-08-09 22:45:43
E01000849,Camden,80,22.79,22.79,10.0,7.789999999999999,37.79,17.79,27.79,7.694,Q1_Least,completed,2025-08-09 22:46:07
E01000850,Camden,80,9.66,9.66,10.0,-5.34,24.66,4.66,14.66,14.252,Q2,completed,2025-08-09 22:46:32
E01000851,Camden,80,9.2,9.2,10.0,-5.800000000000001,24.2,4.199999999999999,14.2,14.959,Q2,completed,2025-08-09 22:46:57
E01000852,Camden,80,14.14,14.14,10.0,-0.8599999999999994,29.14,9.14,19.14,14.633,Q2,completed,2025-08-09 22:47:23
E01000853,Camden,80,11.86,11.86,10.0,-3.1400000000000006,26.86,6.859999999999999,16.86,30.826,Q4,completed,2025-08-09 22:47:47
E01000854,Camden,80,11.43,11.43,10.0,-3.5700000000000003,26.43,6.43,16.43,15.832,Q2,completed,2025-08-09 22:48:07
E01000855,Camden,80,11.15,11.15,10.0,-3.8499999999999996,26.15,6.15,16.15,14.66,Q2,completed,2025-08-09 22:48:28
E01000856,Camden,80,11.8,11.8,10.0,-3.1999999999999993,26.8,6.800000000000001,16.8,31.404,Q4,completed,2025-08-09 22:48:59
E01000857,Camden,80,10.97,10.97,10.0,-4.029999999999999,25.97,5.970000000000001,15.97,14.85,Q2,completed,2025-08-09 22:49:17
