imd_quintile,mean,std,count
Q1_Least,18.315004562264058,10.698057457227872,67
Q2,14.815768155184658,7.123168073154112,11
Q3,15.607071601019966,9.198276296115749,45
Q4,15.23589118087993,10.615536927852576,34
Q5_Most,14.979288736979166,8.914956742079088,9
