lsoa_code,n_images,mean_gvi,median_gvi,std_gvi,min_gvi,max_gvi,q25_gvi,q75_gvi,processing_time,timestamp,borough,imd_score,imd_quintile,__source_file
E01000865,100,17.8690185546875,13.0645751953125,16.626893997192383,0.0,80.877685546875,5.10711669921875,27.65045166015625,22.05134391784668,2025-08-09T19:41:47.251088,Camden,13.236,Q1_Least,batch_20250809_194306.csv
E01000871,100,18.82501220703125,15.3961181640625,16.66194725036621,0.0,72.613525390625,5.8990478515625,27.813720703125,18.56255793571472,2025-08-09T19:56:59.858292,Camden,14.237,Q1_Least,batch_20250809_195738.csv
E01000873,100,21.36376953125,17.4835205078125,15.418158531188965,0.0,70.208740234375,11.7706298828125,25.77056884765625,12.452505826950071,2025-08-09T19:57:52.668690,Camden,8.615,Q1_Least,batch_20250809_195818.csv
E01000874,100,18.18408203125,15.6494140625,13.501583099365234,0.0,55.1513671875,6.99462890625,25.61187744140625,17.24051260948181,2025-08-09T19:58:36.888900,Camden,4.907,Q1_Least,batch_20250809_195901.csv
E01000877,100,18.0792236328125,14.794921875,13.90262508392334,0.0,56.28662109375,6.7169189453125,26.0406494140625,13.700023412704468,2025-08-09T19:59:16.463926,Camden,11.158,Q1_Least,batch_20250809_195948.csv
E01000878,100,16.22955322265625,9.3536376953125,16.454984664916992,0.0,67.724609375,2.64129638671875,26.2725830078125,13.151557445526125,2025-08-09T20:00:03.248389,Camden,5.647,Q1_Least,batch_20250809_200026.csv
E01000879,80,27.677154541015625,24.224853515625,17.49303436279297,0.0,88.51318359375,17.89398193359375,35.919189453125,15.36332082748413,2025-08-09T20:36:12.691018,Camden,5.877,Q1_Least,batch_20250809_203654.csv
E01000880,80,15.848541259765623,9.375,16.124025344848633,0.0,61.358642578125,1.9439697265625,24.11041259765625,12.684707880020142,2025-08-09T20:40:47.130189,Camden,6.105,Q1_Least,batch_20250809_204129.csv
E01000881,80,28.60664367675781,26.11083984375,22.758848190307617,0.0,85.797119140625,4.89044189453125,48.016357421875,16.769257307052612,2025-08-09T20:41:45.977319,Camden,13.429,Q1_Least,batch_20250809_204243.csv
E01000883,80,11.014022827148438,0.6011962890625,17.364553451538086,0.0,71.478271484375,0.0,16.32080078125,13.70727252960205,2025-08-09T20:42:57.049510,Camden,9.536,Q1_Least,batch_20250809_204324.csv
E01000895,100,22.3963623046875,22.0977783203125,16.774028778076172,0.0,57.82470703125,5.96466064453125,33.245849609375,16.32951045036316,2025-08-09T19:38:33.702059,Camden,8.367,Q1_Least,batch_20250809_193936.csv
E01000896,100,27.7008056640625,24.920654296875,21.86750221252441,0.604248046875,93.49365234375,8.6334228515625,41.07208251953125,21.31875491142273,2025-08-09T19:39:57.675314,Camden,5.734,Q1_Least,batch_20250809_194125.csv
E01000912,100,38.59564208984375,38.525390625,24.199512481689453,0.006103515625,94.427490234375,17.9351806640625,55.21697998046875,20.989446878433228,2025-08-09T19:42:27.063140,Camden,22.316,Q3,batch_20250809_194306.csv
E01000915,100,13.26422119140625,15.234375,8.540571212768555,0.0,29.38232421875,5.11016845703125,19.25506591796875,20.542514085769653,2025-08-09T20:16:40.887363,Camden,23.058,Q3,batch_20250809_201651.csv
E01000919,100,5.29736328125,0.8331298828125,7.933811664581299,0.0,33.203125,0.0,9.10186767578125,23.702168464660645,2025-08-09T20:18:29.707952,Camden,21.741,Q3,batch_20250809_201839.csv
E01000922,80,7.7280426025390625,2.8045654296875,10.252613067626951,0.0,44.4091796875,0.152587890625,12.20550537109375,13.138718605041504,2025-08-09T20:35:36.553690,Camden,21.717,Q3,batch_20250809_203541.csv
E01000929,80,24.384536743164062,24.3133544921875,14.90096664428711,0.0,48.199462890625,10.39581298828125,37.579345703125,13.803223609924316,2025-08-09T20:36:47.643420,Camden,25.374,Q3,batch_20250809_203654.csv
E01000930,100,9.60113525390625,0.408935546875,13.192374229431152,0.0,48.773193359375,0.03509521484375,18.98956298828125,14.270404815673828,2025-08-09T19:44:22.438061,Camden,30.755,Q4,batch_20250809_194428.csv
E01000937,100,17.9459228515625,17.730712890625,12.419522285461426,0.0,53.84521484375,8.72802734375,23.25592041015625,21.213627576828003,2025-08-09T19:54:31.850872,Camden,14.324,Q1_Least,batch_20250809_195517.csv
E01000949,100,15.2269287109375,14.6697998046875,11.1484956741333,0.0,39.105224609375,5.53436279296875,24.920654296875,19.375131130218502,2025-08-09T19:33:07.149054,Camden,19.618,Q2,batch_20250809_193511.csv
E01000960,100,8.3587646484375,0.0732421875,17.89107322692871,0.0,72.216796875,0.0,4.9896240234375,21.28824067115784,2025-08-09T19:36:15.326565,Camden,16.477,Q2,batch_20250809_193817.csv
E01000969,80,10.131301879882812,5.975341796875,11.054810523986816,0.0,38.43994140625,1.6754150390625,14.9139404296875,15.369608402252195,2025-08-09T20:35:57.325702,Camden,6.278,Q1_Least,batch_20250809_203654.csv
E01001583,100,15.6795654296875,12.335205078125,13.80564785003662,0.0,60.015869140625,5.02166748046875,24.2279052734375,22.778995752334595,2025-08-09T19:32:45.304601,Greenwich,13.467,Q1_Least,batch_20250809_193511.csv
E01001585,80,20.20751953125,19.281005859375,13.932415962219238,0.079345703125,49.285888671875,8.2275390625,29.77447509765625,18.610724925994877,2025-08-09T20:43:42.966572,Greenwich,12.942,Q1_Least,batch_20250809_204415.csv
E01001586,100,26.24456787109375,26.6815185546875,11.141851425170898,1.397705078125,52.45361328125,18.26324462890625,35.2081298828125,20.12941575050354,2025-08-09T19:36:55.125334,Greenwich,24.143,Q3,batch_20250809_193817.csv
E01001595,100,19.92193603515625,19.00634765625,11.61851978302002,0.274658203125,62.43896484375,12.7532958984375,23.6083984375,21.65396738052368,2025-08-09T19:39:13.253566,Greenwich,23.247,Q3,batch_20250809_193936.csv
E01001596,100,12.431396484375,7.97119140625,13.444889068603516,0.823974609375,81.512451171875,4.79278564453125,13.88092041015625,19.27057886123657,2025-08-09T19:56:41.294742,Greenwich,9.357,Q1_Least,batch_20250809_195738.csv
E01001608,80,9.8223876953125,9.051513671875,6.946094989776611,0.018310546875,37.109375,6.23931884765625,11.89422607421875,18.310579538345337,2025-08-09T20:39:57.825525,Greenwich,14.25,Q1_Least,batch_20250809_204034.csv
