lsoa_code,n_images,mean_gvi,median_gvi,std_gvi,min_gvi,max_gvi,q25_gvi,q75_gvi,processing_time,timestamp,borough,imd_score,imd_quintile
E01002824,100,37.95159912109375,33.9141845703125,23.71647834777832,0.0,93.548583984375,25.5218505859375,54.5166015625,23.429351568222046,2025-08-09T19:03:13.266242,Kensington and Chelsea,10.045,Q1_Least
E01002762,100,22.786865234375,19.024658203125,15.62756633758545,0.0,67.08984375,12.67242431640625,29.15802001953125,19.520060777664185,2025-08-09T19:03:34.094448,Islington,20.717,Q2
E01003937,100,11.9490966796875,5.9722900390625,15.365081787109375,0.0,76.885986328125,0.09765625,17.33245849609375,17.928600311279297,2025-08-09T19:03:52.024036,Southwark,24.291,Q3
E01002727,100,34.05657958984375,31.9488525390625,25.086122512817383,0.0,92.66357421875,12.07122802734375,51.8096923828125,19.479400157928467,2025-08-09T19:04:11.505445,Islington,26.051,Q3
E01003926,100,9.85833740234375,4.5501708984375,12.046442031860352,0.0,48.846435546875,0.52032470703125,14.422607421875,16.774837493896484,2025-08-09T19:04:28.281285,Southwark,31.441,Q4
E01002725,100,20.1015625,10.9161376953125,20.37681007385254,0.0,68.756103515625,3.2196044921875,32.4859619140625,19.607946634292603,2025-08-09T19:04:47.894233,Islington,29.084,Q4
E01001958,100,14.61907958984375,11.053466796875,12.290337562561035,0.0,57.562255859375,4.9224853515625,22.7783203125,19.19491958618164,2025-08-09T19:05:08.192674,Hammersmith and Fulham,38.666,Q5_Most
E01002825,100,11.65838623046875,8.2427978515625,11.202038764953613,0.0,55.816650390625,4.0496826171875,15.9393310546875,20.063575267791748,2025-08-09T19:05:29.128737,Kensington and Chelsea,9.697,Q1_Least
E01004663,100,3.3193359375,0.5584716796875,5.714488506317139,0.0,32.87353515625,0.0,4.5135498046875,23.46982979774475,2025-08-09T19:05:52.600567,Westminster,17.986,Q2
E01002769,100,15.12530517578125,12.445068359375,10.99415111541748,0.4150390625,47.83935546875,6.37664794921875,21.8109130859375,21.16312551498413,2025-08-09T19:06:13.765708,Islington,20.118,Q2
