lsoa_code,n_images,mean_gvi,median_gvi,std_gvi,min_gvi,max_gvi,q25_gvi,q75_gvi,processing_time,timestamp,borough,imd_score,imd_quintile,__order
E01001705,100,7.992614746,4.437255859,9.603225708,0,50.86669922,1.406860352,12.14141846,21.35769033,2025-08-09T19:56:19.112422,Greenwich,32.594,Q4,20250809_195622
E01001710,100,10.71307373,8.435058594,9.700984955,0,46.08154297,2.597045898,17.19360352,14.84253693,2025-08-09T19:57:35.630362,Greenwich,33.511,Q4,20250809_195738
E01001715,100,10.07629395,5.990600586,12.96359062,0,72.11914063,3.060913086,9.771728516,20.13309574,2025-08-09T19:34:15.853689,Hackney,28.349,Q4,20250809_193511
E01001719,100,25.36968994,24.50561523,16.73135567,0,67.30957031,12.67242432,34.41619873,15.63730192,2025-08-09T19:34:53.307835,Hackney,35.72,Q5_Most,20250809_193511
E01001799,100,7.443969727,1.751708984,9.447746277,0,32.21435547,0,14.40582275,15.34894967,2025-08-09T19:33:38.499366,Hackney,26.539,Q3,20250809_193511
E01001830,100,7.229064941,4.022216797,7.984323502,0,30.17578125,0.016784668,12.39471436,17.0457294,2025-08-09T19:54:53.362209,Hackney,32.425,Q4,20250809_195517
E01001835,66,8.532714844,2.185058594,12.78282547,0,57.8125,0.34942627,12.08343506,8.094449043,2025-08-09T20:12:28.806768,Hackney,21.313,Q3,20250809_201238
E01001836,100,20.50964355,16.86401367,19.89351082,0.006103516,85.13793945,3.733825684,30.57098389,18.22928238,2025-08-09T20:13:12.780922,Hackney,26.182,Q3,20250809_201341
E01001851,100,15.87878418,16.20788574,9.686253548,0.067138672,37.29858398,8.17565918,23.67248535,20.42322564,2025-08-09T20:00:50.254121,Hammersmith and Fulham,13.267,Q1_Least,20250809_200100
E01001866,100,11.19445801,8.111572266,10.32594013,0,42.66357422,2.25982666,17.3538208,21.10437036,2025-08-09T19:35:32.871252,Hammersmith and Fulham,14.104,Q1_Least,20250809_193817
E01001888,100,5.536804199,1.889038086,8.670091629,0,57.98339844,0.260925293,6.771850586,16.57981277,2025-08-09T19:52:19.817648,Hammersmith and Fulham,10.795,Q1_Least,20250809_195247
E01001890,100,17.88336182,18.64013672,12.56244373,0,48.27880859,8.276367188,26.46636963,14.03134871,2025-08-09T19:53:01.910964,Hammersmith and Fulham,13.675,Q1_Least,20250809_195356
E01001911,100,6.535644531,2.459716797,8.664039612,0,42.21191406,1.373291016,8.258056641,19.44084811,2025-08-09T19:38:17.365549,Hammersmith and Fulham,34.648,Q5_Most,20250809_193817
E01001958,100,14.61907959,11.0534668,12.29033756,0,57.56225586,4.922485352,22.77832031,19.19491959,2025-08-09T19:05:08.192674,Hammersmith and Fulham,38.666,Q5_Most,20250809_190508
E01001959,100,11.7822876,8.679199219,11.6868906,0,53.66210938,2.429199219,17.48199463,19.70917845,2025-08-09T19:28:45.604812,Hammersmith and Fulham,40.084,Q5_Most,20250809_192845
E01001961,100,20.64276123,16.04309082,18.08210945,0,87.01171875,9.309387207,27.70996094,20.50101972,2025-08-09T19:32:22.518604,Hammersmith and Fulham,41.84,Q5_Most,20250809_193222
E01002701,100,4.575195313,0.244140625,7.112375736,0,22.87597656,0,8.465576172,18.41386032,2025-08-09T19:37:37.607604,Islington,27.789,Q4,20250809_193817
E01002706,100,10.4284668,6.750488281,11.68784618,0,44.6105957,0.268554688,18.57910156,19.46640301,2025-08-09T19:30:32.508378,Islington,24.912,Q3,20250809_193222
