lsoa_code,image_id,captured_at,lon,lat,sequence_id,gvi,processing_time
E01003170,1715132495781529,1751313108933,-0.10209466246622,51.439895523207,,32.2021484375,2025-08-09T21:32:55.532675
E01003170,1419284559219826,1751313065500,-0.096614645248987,51.440110068517,,44.525146484375,2025-08-09T21:32:55.534675
E01003170,394138676111498,1656164405506,-0.095854018150395,51.446541585167,,15.106201171875,2025-08-09T21:32:56.015625
E01003170,757529043499928,1751313018766,-0.094708999776864,51.440890890527,,25.067138671875,2025-08-09T21:32:56.115010
E01003170,2971232439716367,1751312998707,-0.093097896810053,51.44108264162,,28.753662109375,2025-08-09T21:32:56.120008
E01003170,1219314575274712,1656164444567,-0.094207263734629,51.442974670919,,18.902587890625,2025-08-09T21:32:56.206517
E01003170,373519207411956,1565898487000,-0.1020926,51.448528699972,,21.533203125,2025-08-09T21:32:56.330447
E01003170,562275238826323,1656164426507,-0.094947003840417,51.444602383273,,45.5810546875,2025-08-09T21:32:56.386309
E01003170,317685833276871,1566242728000,-0.0977414,51.4441308,,16.961669921875,2025-08-09T21:32:56.445044
E01003170,481319573187697,1405538610000,-0.097409659771746,51.450042775012,,42.462158203125,2025-08-09T21:32:56.538550
E01003170,3948972978557003,1438348677049,-0.10070011,51.44889545,,15.95458984375,2025-08-09T21:32:56.719098
E01003170,1142884682844780,1438348662537,-0.10012641,51.45015201,,28.839111328125,2025-08-09T21:32:56.905297
E01003170,561750695408470,1656164434577,-0.094707110586125,51.443875335891,,38.818359375,2025-08-09T21:32:56.959395
E01003170,210601140687822,1566242698000,-0.0983597,51.4453505,,11.63330078125,2025-08-09T21:32:57.121390
E01003170,3547125938756814,1751313109233,-0.10236450887431,51.439965747904,,18.994140625,2025-08-09T21:32:57.193065
E01003170,695094313399741,1751313059866,-0.096004067976916,51.440356137605,,22.0703125,2025-08-09T21:32:57.195066
E01003170,3195663717327463,1406718011000,-0.10130122645292,51.449546957966,,8.3740234375,2025-08-09T21:32:57.294266
E01003170,531962874849825,1566242763000,-0.0968836,51.4423997,,29.9560546875,2025-08-09T21:32:57.315888
E01003170,1879536302220077,1438348679175,-0.10080883,51.44874497,,55.9814453125,2025-08-09T21:32:57.426352
E01003170,160881999330234,1565898657000,-0.0964068,51.441340699972,,38.48876953125,2025-08-09T21:32:57.484645
E01003170,280039280456930,1405364964000,-0.093039711937308,51.449783882126,,22.8759765625,2025-08-09T21:32:57.638129
E01003170,139407752030400,1656164412507,-0.095342154557358,51.445909157253,,14.532470703125,2025-08-09T21:32:57.806006
E01003170,285504909905952,1566242653000,-0.10003739997222,51.4471524,,18.536376953125,2025-08-09T21:32:57.833894
E01003170,741246005053210,1751313008200,-0.094419463818676,51.440723778884,,37.103271484375,2025-08-09T21:32:57.955887
E01003170,949701652449954,1564688903000,-0.0935381,51.4500229,,16.11328125,2025-08-09T21:32:58.109273
E01003170,936805983826843,1564688898000,-0.0938806,51.450192,,9.50927734375,2025-08-09T21:32:58.191879
E01003170,3925240804192559,1566242658000,-0.0998207,51.447005199972,,22.18017578125,2025-08-09T21:32:58.268435
