lsoa_code,n_images,mean_gvi,median_gvi,std_gvi,min_gvi,max_gvi,q25_gvi,q75_gvi,processing_time,timestamp,borough,imd_score,imd_quintile
E01001596,100,12.431396484375,7.97119140625,13.444889068603516,0.823974609375,81.512451171875,4.79278564453125,13.88092041015625,19.270578861236572,2025-08-09T19:56:41.294742,Greenwich,9.357,Q1_Least
E01000871,100,18.82501220703125,15.3961181640625,16.66194725036621,0.0,72.613525390625,5.8990478515625,27.813720703125,18.56255793571472,2025-08-09T19:56:59.858292,Camden,14.237,Q1_Least
E01003032,100,25.385986328125,14.8681640625,26.687572479248047,0.0,94.59228515625,0.58135986328125,46.453857421875,15.365378856658936,2025-08-09T19:57:20.782833,Lambeth,31.549,Q4
