lsoa_code,n_images,mean_gvi,median_gvi,std_gvi,min_gvi,max_gvi,q25_gvi,q75_gvi,processing_time,timestamp,borough,imd_score,imd_quintile
E01002914,100,14.19757080078125,10.7208251953125,13.012731552124023,0.0,79.071044921875,5.01861572265625,18.85833740234375,18.903209686279297,2025-08-09T19:49:42.760777,Kensington and Chelsea,8.875,Q1_Least
E01003169,100,24.56683349609375,23.35205078125,17.956846237182617,0.0,92.37060546875,10.13641357421875,34.54742431640625,17.7555890083313,2025-08-09T19:50:02.674677,Lambeth,23.435,Q3
E01002899,100,5.74383544921875,3.67431640625,6.23542594909668,0.0,27.056884765625,0.50506591796875,9.30023193359375,14.970010042190552,2025-08-09T19:50:17.646688,Kensington and Chelsea,21.45,Q3
E01002848,100,10.93377685546875,4.4677734375,14.821577072143555,0.0,76.763916015625,0.42266845703125,17.1173095703125,18.50991439819336,2025-08-09T19:50:36.158602,Kensington and Chelsea,29.533,Q4
