id,longitude,latitude,captured_at,captured_date,captured_year,compass_angle,height,width,lsoa_code,lsoa_name,borough,downloaded,imd_quintile
1054822322806926,-0.1746119,51.5466365,1750097640000,2025-06-16T18:14:00Z,2025,230.447,2880,5760,E01000882,Camden 008B,Camden,TRUE,1
1276430970820110,-0.1740701,51.5497246,1750097586000,2025-06-16T18:13:06Z,2025,182.008,2880,5760,E01000882,Camden 008B,Camden,TRUE,1
1226392459180424,-0.1752274,51.5462757,1750097654000,2025-06-16T18:14:14Z,2025,224.792,2880,5760,E01000882,Camden 008B,Camden,TRUE,1
1234746101516611,-0.1716696,51.5474807,1750097300000,2025-06-16T18:08:20Z,2025,296.652,2880,5760,E01000882,Camden 008B,Camden,TRUE,1
1223784148995117,-0.1714166,51.5474148,1750097296000,2025-06-16T18:08:16Z,2025,293.49,2880,5760,E01000882,Camden 008B,Camden,TRUE,1
1051964749809924,-0.1740731,51.5502424,1750097578000,2025-06-16T18:12:58Z,2025,180.342,2880,5760,E01000882,Camden 008B,Camden,TRUE,1
645569795198224,-0.1740403,51.5475208,1750097616000,2025-06-16T18:13:36Z,2025,180.362,2880,5760,E01000882,Camden 008B,Camden,TRUE,1
1935241400596243,-0.1713002,51.547381,1750097294000,2025-06-16T18:08:14Z,2025,295.03,2880,5760,E01000882,Camden 008B,Camden,TRUE,1
1073129784736152,-0.1740651,51.5488355,1750097598000,2025-06-16T18:13:18Z,2025,180.346,2880,5760,E01000882,Camden 008B,Camden,TRUE,1
1291631979345814,-0.1713109,51.5497419,1750097376000,2025-06-16T18:09:36Z,2025,161.987,2880,5760,E01000882,Camden 008B,Camden,TRUE,1
665212476553814,-0.1714324,51.5483113,1750097328000,2025-06-16T18:08:48Z,2025,46.853,2880,5760,E01000882,Camden 008B,Camden,TRUE,1
1202100424930928,-0.1716657,51.5481652,1750097324000,2025-06-16T18:08:44Z,2025,44.311,2880,5760,E01000882,Camden 008B,Camden,TRUE,1
1040862054375702,-0.1740846,51.5504905,1750097574000,2025-06-16T18:12:54Z,2025,179.709,2880,5760,E01000882,Camden 008B,Camden,TRUE,1
705211072115557,-0.1750779,51.5463856,1750097650000,2025-06-16T18:14:10Z,2025,220.471,2880,5760,E01000882,Camden 008B,Camden,TRUE,1
1030284292559109,-0.1756574,51.545851999999996,1750097670000,2025-06-16T18:14:30Z,2025,168.152,2880,5760,E01000882,Camden 008B,Camden,TRUE,1
1223597215807455,-0.1740665,51.5486915,1750097600000,2025-06-16T18:13:20Z,2025,180.236,2880,5760,E01000882,Camden 008B,Camden,TRUE,1
1995610661183304,-0.1740744,51.5501069,1750097580000,2025-06-16T18:13:00Z,2025,180.682,2880,5760,E01000882,Camden 008B,Camden,TRUE,1
715824601028885,-0.174239,51.5467791,1750097634000,2025-06-16T18:13:54Z,2025,235.888,2880,5760,E01000882,Camden 008B,Camden,TRUE,1
1505145780458159,-0.17406749999999999,51.5485407,1750097602000,2025-06-16T18:13:22Z,2025,179.764,2880,5760,E01000882,Camden 008B,Camden,TRUE,1
1207764840670050,-0.1741302,51.5468427,1750097632000,2025-06-16T18:13:52Z,2025,226.772,2880,5760,E01000882,Camden 008B,Camden,TRUE,1
1462914754874384,-0.1740702,51.5482381,1750097606000,2025-06-16T18:13:26Z,2025,176.165,2880,5760,E01000882,Camden 008B,Camden,TRUE,1
540607829135227,-0.1740777,51.5506019,1750097572000,2025-06-16T18:12:52Z,2025,182.206,2880,5760,E01000882,Camden 008B,Camden,TRUE,1
752055393966561,-0.1740777,51.5495898,1750097588000,2025-06-16T18:13:08Z,2025,178.787,2880,5760,E01000882,Camden 008B,Camden,TRUE,1
1043992864506980,-0.1708834,51.5497737,1750097388000,2025-06-16T18:09:48Z,2025,50.192,2880,5760,E01000882,Camden 008B,Camden,TRUE,1
2195790357540395,-0.174071,51.5492939,1750097592000,2025-06-16T18:13:12Z,2025,180.068,2880,5760,E01000882,Camden 008B,Camden,TRUE,1
1377970553432365,-0.175439,51.5454583,1750097680000,2025-06-16T18:14:40Z,2025,152.886,2880,5760,E01000882,Camden 008B,Camden,TRUE,1
