Model,Beta_IMD,SE_IMD,R2,Adj_R2,F_stat,AIC
M1: Base,-0.08378753272999649,0.023936072255675647,0.00703705714039828,0.006462758156673742,12.253298960693408,12992.592372529278
M2: +Source,-0.08402052845055714,0.023952087421091353,0.007102946142544871,0.005953759737617248,6.180847695454856,12994.477506563955
M3: +Images,-0.08377406777652853,0.023942678536802302,0.007069116820540223,0.005919891261304766,6.151200487781444,12994.536483029442
M4: Full,-0.09692167198451994,0.025472136768789715,0.08116761745190196,0.07367131596258192,10.827688503129185,12884.284722318689
M5: Interaction,-0.08687249440786567,0.0244180328468517,0.007312349826711893,0.00558793584262407,4.240483952337866,12996.112397205588
