lsoa11cd,borough,mean_gvi,imd_score,lisa_I,lisa_z,lisa_pval,lisa_padj,priority,deprived
E01001791,Hackney,15.34933069537263,32.227,-0.20718293849369068,-4.2345825368870464,2.28976675119217e-5,8.720407024591893e-4,0.26938613239046305,FALSE
E01003120,Lambeth,11.966094970703123,32.875,-0.5475633964072968,-3.243303342389087,0.0011815234433135916,0.01966554884976757,0.92332064964664,FALSE
E01003256,Lewisham,16.281661987304688,30.358,-0.03668503757273334,-3.019907043046003,0.0025285227686692676,0.03762094784124593,-0.053282316915308825,FALSE
E01003957,Southwark,16.57085419150854,14.122,-0.002356590483069557,-2.906310687115128,0.0036571812475916206,0.04907426929907826,-1.4728037530493157,FALSE
E01004490,Wandsworth,3.1026532573084675,7.244,-2.298007923491654,-3.5250137281056557,4.2346084571942257e-4,0.008425410620003683,0.3333792879275219,FALSE
