Coefficient,Min,Q1,Median,Q3,Max
Intercept,5.763268768825711,12.636889472084377,16.654181868644116,21.141984643961692,33.7021530002623
IMD Slope,-0.5631831602453063,-0.16952931040471353,-0.05001444905699781,0.07460075961342927,0.4513171190449068
Local R2,-0.059159782517884334,0.20820598202446383,0.3069308984873954,0.4145326098679012,0.681131761369121
