Model,AIC,LogLik,Rho_Lambda,p_spatial
OLS,12992.592372529278,-6493.296186264639,NA,NA
Spatial Lag (SAR),12032.877277398034,-6012.438638699017,0.7815872908374565,NA
Spatial Error (SEM),12033.173160847055,-6012.586580423527,0.7827307812203675,NA
Spatial Durbin (SDM),12033.670017836812,-6011.835008918406,0.7799251804304831,NA
