Method,Coefficient,CI_Lower,CI_Upper,t_statistic,p_value,Interpretation
Pearson,-0.08388716910468652,-0.1304859471275975,-0.03691858462180962,-3.500471248374052,4.762187860070141e-4,Small
Spearman,-0.08799755154329167,NA,NA,NA,2.4672899826583473e-4,Small
Kendall,-0.05860582258527596,NA,NA,NA,2.5847128739645773e-4,Small
