lisa_cluster,n,mean_gvi,mean_imd,percentage
High-High,123,36.73475453198507,20.99590243902439,7.1
Low-Low,1,1.4403533935546875,13.315,0.1
Low-High,5,12.65411902043949,23.365199999999998,0.3
Not Significant,1602,15.064628785213625,24.698654806491884,92.5
